,Ticker,Holiday,datetime
0,HSI,20211224,2021-12-24
1,HSI,20211227,2021-12-27
2,HSI,20211231,2021-12-31
3,N225,20211103,2021-11-03
4,N225,20211123,2021-11-23
5,N225,20211231,2021-12-31
6,FTSEMIB,20211101,2021-11-01
7,FTSEMIB,20211206,2021-12-06
8,FTSEMIB,20211207,2021-12-07
9,FTSEMIB,20211008,2021-10-08
10,FTSEMIB,20211223,2021-12-23
11,FTSEMIB,20211224,2021-12-24
12,FTSEMIB,20211228,2021-12-28
13,FTSEMIB,20211229,2021-12-29
14,FTSEMIB,20211230,2021-12-30
15,FTSEMIB,20211231,2021-12-31
16,DAX,20211224,2021-12-24
17,DAX,20211231,2021-12-31
18,CAC40,20211224,2021-12-24
19,CAC40,20211231,2021-12-31
